"filename", "language", "Dart", "Markdown", "JSON", "YAML", "Firebase Rules", "HTML", "Properties", "Gradle", "XML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\repositories\auth_repository_impl.dart", "Dart", 117, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 131
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\entities\user.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 45
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 40
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\usecases\auth_usecases.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 55
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\providers\auth_provider.dart", "Dart", 48, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 87
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\onboarding_screen.dart", "Dart", 182, 0, 0, 0, 0, 0, 0, 0, 0, 9, 20, 211
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_in_screen.dart", "Dart", 359, 0, 0, 0, 0, 0, 0, 0, 0, 15, 34, 408
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_up_screen.dart", "Dart", 456, 0, 0, 0, 0, 0, 0, 0, 0, 20, 36, 512
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\splash_screen.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 13, 18, 129
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\welcome_screen.dart", "Dart", 172, 0, 0, 0, 0, 0, 0, 0, 0, 13, 16, 201
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\email_input_field.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 56
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\password_input_field.dart", "Dart", 144, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 164
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\social_sign_in_button.dart", "Dart", 161, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 178
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\models\goal_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\repositories\goal_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\entities\goal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\repositories\goal_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\providers\goal_providers.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\screens\goal_detail_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\screens\goals_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\widgets\add_goal_dialog.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\widgets\goal_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\datasources\habit_remote_datasource.dart", "Dart", 239, 0, 0, 0, 0, 0, 0, 0, 0, 30, 45, 314
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_log_model.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 118
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_model.dart", "Dart", 120, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 134
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\streak_recovery_model.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 64
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\repositories\habit_repository_impl.dart", "Dart", 391, 0, 0, 0, 0, 0, 0, 0, 0, 30, 70, 491
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\repositories\offline_first_habit_repository.dart", "Dart", 290, 0, 0, 0, 0, 0, 0, 0, 0, 23, 49, 362
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\habit.dart", "Dart", 180, 0, 0, 0, 0, 0, 0, 0, 0, 12, 16, 208
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\habit_log.dart", "Dart", 124, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 138
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\streak_recovery.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 12, 12, 101
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\repositories\habit_repository.dart", "Dart", 49, 0, 0, 0, 0, 0, 0, 0, 0, 39, 28, 116
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\usecases\habit_usecases.dart", "Dart", 134, 0, 0, 0, 0, 0, 0, 0, 0, 28, 37, 199
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\providers\habits_provider.dart", "Dart", 290, 0, 0, 0, 0, 0, 0, 0, 0, 41, 55, 386
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\create_habit_screen.dart", "Dart", 767, 0, 0, 0, 0, 0, 0, 0, 0, 32, 54, 853
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\edit_habit_screen.dart", "Dart", 442, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 480
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\habit_detail_screen.dart", "Dart", 1563, 0, 0, 0, 0, 0, 0, 0, 0, 34, 101, 1698
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\home_screen.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 77
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\statistics_screen.dart", "Dart", 374, 0, 0, 0, 0, 0, 0, 0, 0, 26, 58, 458
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\screens\today_screen.dart", "Dart", 671, 0, 0, 0, 0, 0, 0, 0, 0, 41, 64, 776
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\category_pie_chart_card.dart", "Dart", 149, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 163
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\daily_progress_card.dart", "Dart", 185, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 205
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\detailed_checkin_sheet.dart", "Dart", 425, 0, 0, 0, 0, 0, 0, 0, 0, 14, 32, 471
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\edit_log_sheet.dart", "Dart", 472, 0, 0, 0, 0, 0, 0, 0, 0, 10, 34, 516
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\frequency_selector.dart", "Dart", 279, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 298
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\habit_card.dart", "Dart", 422, 0, 0, 0, 0, 0, 0, 0, 0, 24, 26, 472
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\heatmap_calendar_card.dart", "Dart", 180, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19, 206
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\monthly_line_chart_card.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 139
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\progress_ring.dart", "Dart", 194, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 223
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\skip_reason_sheet.dart", "Dart", 241, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24, 274
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\statistics_overview_card.dart", "Dart", 143, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 155
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\streak_recovery_dialog.dart", "Dart", 248, 0, 0, 0, 0, 0, 0, 0, 0, 15, 12, 275
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\top_habits_card.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 154
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\presentation\widgets\weekly_bar_chart_card.dart", "Dart", 152, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 160
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\profile\presentation\screens\profile_screen.dart", "Dart", 422, 0, 0, 0, 0, 0, 0, 0, 0, 14, 24, 460
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\models\friend_model.dart", "Dart", 69, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 82
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\models\shared_habit_model.dart", "Dart", 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 65
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\social\data\repositories\friend_repository_impl.dart", "Dart", 184, 0, 0, 0, 0, 0, 0, 0, 0, 12, 38, 234
